,pfoodh,pfoodr,prent,poper,pfurn,pcloth,ptranop,precr,pothers
pfoodh,-9.2589375470334034e-01,2.1875213617544131e-01,7.4151244097509575e-02,-3.1902792116821482e-01,1.3919138947074901e+00,-6.7024798206890390e-02,-1.9183017289028453e-01,-6.1992305178748430e-01,-3.7375522329392735e-01
pfoodr,1.7680218673668263e-01,-5.0020319768336774e-01,-8.2270794502386623e-03,5.0349678796870501e-01,-1.7999282906371370e+00,-7.7329351724301143e-01,-1.2816716553474269e-02,2.4431420956112876e-01,7.2694635001965935e-01
prent,2.5144194672634035e-01,-3.0116425016164239e-01,-7.2505976363993518e-01,-1.5119501941155103e-01,2.9486645799599781e-01,-5.1868524482847111e-01,-1.1523192688116425e-02,-5.9921325650886925e-01,-9.2010368693333333e-01
poper,-1.2594970177667311e-01,4.5342187294923647e-01,-1.2622775663956060e-02,-3.6691578533745661e-01,-6.6834116320497305e-01,-1.7375342363787963e-01,-2.5627425066548759e-01,3.0190069945116454e-01,-3.6792404426870640e-01
pfurn,4.3634727311006710e-01,-9.5011693310956613e-01,8.0840184973707083e-02,-3.3353218601477042e-01,-1.2356378438092375e+00,3.6352862246537110e-01,-1.2306786047656590e-01,-2.8260879994955013e-01,5.8490074210617249e-01
pcloth,4.7376608509760811e-02,-8.4260969479096715e-01,-4.5161142424619508e-02,-1.4821588482081710e-01,7.1502116956569861e-01,-3.3433576339767535e-01,2.9513362474242949e-01,2.3780959095629822e-01,-1.9268089327019382e+00
ptranop,-1.1955074169120872e-01,-9.1454690800950492e-02,7.4837461531996833e-03,-4.2951063278550144e-01,-4.8721226865360423e-01,3.2778523313264196e-01,-6.2614900464691958e-01,-6.4442943131383629e-02,2.2515139867313275e-01
precr,-2.4525287046050440e-01,2.8933814789725576e-01,-5.1699264239843064e-02,4.0057008329243554e-01,-5.8066572093244262e-01,2.4609445037973676e-01,2.8305634795691204e-02,-1.1417417610541936e+00,5.4663775356361621e-01
pothers,-5.6575120859822331e-02,2.6504263583580889e-01,-6.1334004654491882e-02,-1.4081073806142577e-01,3.8899652072236968e-01,-6.7410181823784898e-01,6.2210759694423731e-02,1.7020112570150095e-01,4.0931914951747506e-01
