,pfoodh,pfoodr,prent,poper,pfurn,pcloth,ptranop,precr,pothers
pfoodh,-1.2275811586857743e-01,3.1704998123539392e-02,6.6553909892467955e-02,-1.2512802590098872e-02,6.6669208185445486e-02,1.3515808451567853e-02,-8.0365483123366159e-03,-2.9164583954707828e-02,-5.9718738968137768e-03
pfoodr,3.1704998123547296e-02,-2.8905535374241037e-02,1.7220143455257478e-02,4.1003906725857839e-02,-6.5650790169046680e-02,-5.3272031496020535e-02,5.5650130853281739e-03,2.9843954616728341e-02,2.2490341048015356e-02
prent,6.6553909892455770e-02,1.7220143455270939e-02,-1.6768563339450235e-01,1.4972926989147305e-02,4.0863926150898094e-02,5.7222208844295956e-03,3.3879942489652731e-02,2.9022387116869226e-03,-1.4429675102132960e-02
poper,-1.2512802590093013e-02,4.1003906725856611e-02,1.4972926989136839e-02,-2.1130190288205480e-02,-2.0966570525895047e-02,-4.8524685239438739e-03,-2.2545685413681398e-02,3.4105687183208749e-02,-8.0748035414572629e-03
pfurn,6.6669208185447859e-02,-6.5650790169049025e-02,4.0863926150899704e-02,-2.0966570525896358e-02,-4.5984697092892476e-02,3.4699397381900095e-02,-1.0319597714982007e-02,-1.6809831429186434e-02,1.7498955222073016e-02
pcloth,1.3515808451568074e-02,-5.3272031496020444e-02,5.7222208844282495e-03,-4.8524685239437716e-03,3.4699397381899741e-02,-1.6587082314384702e-02,4.1572443237303844e-02,3.0383801449581398e-02,-5.1182089053391111e-02
ptranop,-8.0365483123375110e-03,5.5650130853295236e-03,3.3879942489652398e-02,-2.2545685413681398e-02,-1.0319597714981740e-02,4.1572443237303261e-02,-6.0742834598201990e-02,1.0862199016985858e-02,9.7650682339424835e-03
precr,-2.9164583954707113e-02,2.9843954616728015e-02,2.9022387116871204e-03,3.4105687183209214e-02,-1.6809831429186888e-02,3.0383801449582398e-02,1.0862199016985740e-02,-7.9778939923962830e-02,1.7655474346373393e-02
pothers,-5.9718738968137768e-03,2.2490341048015356e-02,-1.4429675102132960e-02,-8.0748035414572629e-03,1.7498955222073016e-02,-5.1182089053391111e-02,9.7650682339424835e-03,1.7655474346373393e-02,1.2248602749229908e-02
