foodh,foodr,rent,oper,furn,cloth,tranop,recr
9.4949025783743091e-02,9.5926270544594724e-02,2.4276883347285066e-01,6.3922834433646644e-02,8.8910954364058922e-02,1.9970777335177345e-01,7.8790684283942841e-02,8.6776686678304751e-02
1.2342443188235812e-01,7.0121920726368595e-02,2.9775735010347959e-01,5.0837136308644337e-02,5.8835158299319859e-02,1.4202860990989827e-01,1.5618310413458331e-01,5.8015037430954333e-02
1.0854708878387095e-01,9.3156837305835877e-02,2.6354660173640637e-01,6.2821718072483643e-02,8.0853974991434693e-02,1.8555691335577654e-01,8.0036415316548801e-02,7.9232902946027639e-02
1.0974167325658729e-01,1.1908009988443348e-01,2.3994147354834458e-01,4.0154833880626455e-02,5.9324072770770203e-02,1.2674452270144321e-01,1.7726165916022113e-01,1.0727455708217790e-01
1.2825172733923482e-01,6.8553008160576606e-02,2.9914152265320748e-01,5.0671709344535305e-02,5.3110160840378333e-02,1.3808743114668220e-01,1.7368183661352901e-01,4.9722574979157039e-02
1.1353237868191990e-01,7.6054193072614115e-02,2.8057981238369462e-01,5.0489090772840986e-02,6.0651454740857744e-02,1.5067256012991662e-01,1.7131103770016010e-01,5.6960224751745128e-02
1.1250800166480354e-01,1.1741440386733616e-01,2.4559068529873992e-01,4.0293625151305058e-02,5.8178130430553990e-02,1.2387213123265910e-01,1.7469462297279034e-01,1.0643289253784788e-01
1.4691531449691664e-01,7.3295886817942496e-02,3.3111200452976552e-01,6.3380152064655276e-02,6.5566137738158115e-02,1.4847834664831838e-01,5.1614176371862081e-02,6.9122181144194134e-02
1.2008261871262690e-01,7.1313314414144555e-02,2.9506335790238225e-01,5.0957573243702176e-02,6.0713723027806706e-02,1.4471733248300706e-01,1.5381101608577233e-01,5.9911580200197698e-02
1.2536697418375048e-01,6.9567930020447324e-02,2.9649215928864170e-01,5.1105273667563580e-02,5.1452447235391517e-02,1.3942025985729331e-01,1.8439113005339955e-01,4.5583146242562371e-02
1.0107554963532640e-01,7.6479870400738448e-02,2.8119766901006277e-01,5.1584722347653406e-02,7.0837167081188396e-02,1.6081941920852488e-01,1.4306775667499960e-01,6.8792793237432370e-02
