,foodh,foodr,rent,oper,furn,cloth,tranop,recr,others
age,1.9150265182592587e-03,-7.5062568151388427e-04,-5.9498358197034480e-03,4.9452620799403822e-03,-4.5082519757560719e-03,-7.6551192332485350e-04,1.4797117123888793e-03,3.9336947509636244e-03,-2.9946966125388473e-04
hsex,-1.1290739285039902e-02,-3.3267208865119149e-02,4.6189691919000598e-03,2.3129208724224033e-02,5.8511458839341692e-03,2.5950168048204721e-02,-1.0995212334332767e-02,-2.0493822616452453e-02,1.6497491252681289e-02
carown,1.9079528132018561e-02,9.1801924300728421e-03,2.7080248381347313e-02,1.4121200910236602e-02,3.9173738095428356e-03,1.0963196413597161e-02,-1.0259908154029423e-01,1.4909636297253089e-02,3.3477051662258342e-03
time,4.7178400881997643e-04,-2.5385709521681993e-03,-3.4949456384407887e-03,5.6653133778859083e-03,-3.8006043553833924e-03,-1.4501401804217892e-03,8.9338698365482754e-04,5.0834080872446978e-03,-8.2963133119123866e-04
tran,1.0215235561190909e-02,-1.1631969216034141e-02,-2.5979641748802101e-03,1.2717090685374700e-02,-1.9104785805063706e-03,-7.3404828627396000e-03,-3.4435326673486516e-03,4.6305416910424353e-03,-6.3844043609906950e-04
